迭代：134，类型：定向，适应值：(7310.5891,)，车辆：12，距离：1842.295，满意度：83.07
迭代：135，类型：定向，适应值：(7310.5891,)，车辆：12，距离：1842.295，满意度：83.07
迭代：136，类型：定向，适应值：(7310.5891,)，车辆：12，距离：1842.295，满意度：83.07
迭代：137，类型：定向，适应值：(7292.2796,)，车辆：12，距离：1846.14，满意度：83.2
迭代：138，类型：定向，适应值：(7292.2796,)，车辆：12，距离：1846.14，满意度：83.2
迭代：139，类型：定向，适应值：(7285.4761,)，车辆：12，距离：1842.738，满意度：83.2
迭代：140，类型：定向，适应值：(7285.4761,)，车辆：12，距离：1842.738，满意度：83.2
迭代：141，类型：定向，适应值：(7283.1289,)，车辆：12，距离：1841.564，满意度：83.2
迭代：142，类型：定向，适应值：(7283.1289,)，车辆：12，距离：1841.564，满意度：83.2
迭代：143，类型：定向，适应值：(7283.1289,)，车辆：12，距离：1841.564，满意度：83.2
迭代：144，类型：定向，适应值：(7278.0157,)，车辆：12，距离：1839.008，满意度：83.2
迭代：145，类型：定向，适应值：(7278.0157,)，车辆：12，距离：1839.008，满意度：83.2
迭代：146，类型：定向，适应值：(7275.339,)，车辆：12，距离：1837.67，满意度：83.2
迭代：147，类型：定向，适应值：(7275.339,)，车辆：12，距离：1837.67，满意度：83.2
迭代：148，类型：定向，适应值：(7270.2258,)，车辆：12，距离：1835.113，满意度：83.2
迭代：149，类型：定向，适应值：(7232.9312,)，车辆：12，距离：1816.466，满意度：83.2
迭代：150，类型：定向，适应值：(7232.9312,)，车辆：12，距离：1816.466，满意度：83.2
迭代：151，类型：定向，适应值：(7225.1413,)，车辆：12，距离：1812.571，满意度：83.2
迭代：152，类型：定向，适应值：(7225.1413,)，车辆：12，距离：1812.571，满意度：83.2
迭代：153，类型：定向，适应值：(7221.3045,)，车辆：12，距离：1810.652，满意度：83.2
迭代：154，类型：定向，适应值：(7221.3045,)，车辆：12，距离：1810.652，满意度：83.2
迭代：155，类型：定向，适应值：(7221.3045,)，车辆：12，距离：1810.652，满意度：83.2
迭代：156，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：157，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：158，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：159，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：160，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：161，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：162，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：163，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：164，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：165，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：166，类型：定向，适应值：(7213.5146,)，车辆：12，距离：1806.757，满意度：83.2
迭代：167，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：168，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：169，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：170，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：171，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：172，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：173，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
