种群大小：50，变异率：0.02，类型：随机，迭代数：400，时间：12
迭代：106，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：107，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：108，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：109，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：110，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：111，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：112，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：113，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：114，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：115，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：116，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：117，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：118，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：119，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：120，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：121，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：122，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：123，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：124，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：125，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：126，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：127，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：128，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：129，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：130，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：131，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：132，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：133，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：134，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：135，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
迭代：136，时间：12，类型：随机，适应值：(14677.66,)，车辆：7，距离：141.3，满意度：98.0
迭代：137，时间：12，类型：随机，适应值：(14677.66,)，车辆：7，距离：141.3，满意度：98.0
迭代：138，时间：12，类型：随机，适应值：(14677.66,)，车辆：7，距离：141.3，满意度：98.0
迭代：139，时间：12，类型：随机，适应值：(14677.66,)，车辆：7，距离：141.3，满意度：98.0
迭代：140，时间：12，类型：随机，适应值：(14677.66,)，车辆：7，距离：141.3，满意度：98.0
迭代：141，时间：12，类型：随机，适应值：(14677.66,)，车辆：7，距离：141.3，满意度：98.0
