index,type,fitness,vehicle,distance,satisfaction
174,定向,7193.3667,11,1586.683,81.0
175,定向,7193.3667,11,1586.683,81.0
176,定向,7192.0382,11,1613.019,81.27
177,定向,7192.0382,11,1613.019,81.27
178,定向,7192.0382,11,1613.019,81.27
179,定向,7192.0382,11,1613.019,81.27
180,定向,7192.0382,11,1613.019,81.27
181,定向,7192.0382,11,1613.019,81.27
182,定向,7192.0382,11,1613.019,81.27
183,定向,7192.0382,11,1613.019,81.27
184,定向,7174.8381,11,1670.419,81.93
185,定向,7174.8381,11,1670.419,81.93
186,定向,7174.8381,11,1670.419,81.93
187,定向,7174.8381,11,1670.419,81.93
188,定向,7174.8381,11,1670.419,81.93
189,定向,7174.8381,11,1670.419,81.93
190,定向,7174.8381,11,1670.419,81.93
191,定向,7174.8381,11,1670.419,81.93
192,定向,7174.8381,11,1670.419,81.93
193,定向,7174.8381,11,1670.419,81.93
194,定向,7174.8381,11,1670.419,81.93
195,定向,7174.8381,11,1670.419,81.93
196,定向,7174.8381,11,1670.419,81.93
197,定向,7174.8381,11,1670.419,81.93
198,定向,7174.8381,11,1670.419,81.93
199,定向,7174.8381,11,1670.419,81.93
200,定向,7062.9599,11,1621.48,82.0
201,定向,7062.9599,11,1621.48,82.0
202,定向,7062.9599,11,1621.48,82.0
203,定向,7062.9599,11,1621.48,82.0
204,定向,7062.9599,11,1621.48,82.0
205,定向,7062.9599,11,1621.48,82.0
206,定向,7062.9599,11,1621.48,82.0
207,定向,7062.9599,11,1621.48,82.0
208,定向,7062.9599,11,1621.48,82.0
209,定向,7062.9599,11,1621.48,82.0
210,定向,7062.9599,11,1621.48,82.0
211,定向,7062.9599,11,1621.48,82.0
212,定向,7062.9599,11,1621.48,82.0
213,定向,7062.9599,11,1621.48,82.0
214,定向,7060.2878,11,1620.144,82.0
215,定向,7047.412,11,1646.706,82.33
216,定向,7047.412,11,1646.706,82.33
217,定向,7047.412,11,1646.706,82.33
218,定向,6951.7843,11,1625.892,82.6
219,定向,6951.7843,11,1625.892,82.6
220,定向,6951.7843,11,1625.892,82.6
221,定向,6951.7843,11,1625.892,82.6
222,定向,6951.7843,11,1625.892,82.6
223,定向,6951.7843,11,1625.892,82.6
224,定向,6951.7843,11,1625.892,82.6
225,定向,6951.7843,11,1625.892,82.6
226,定向,6951.7843,11,1625.892,82.6
227,定向,6951.7843,11,1625.892,82.6
228,定向,6916.5351,11,1701.268,83.53
229,定向,6916.5351,11,1701.268,83.53
230,定向,6916.5351,11,1701.268,83.53
231,定向,6916.5351,11,1701.268,83.53
232,定向,6916.5351,11,1701.268,83.53
233,定向,6916.5351,11,1701.268,83.53
234,定向,6678.3865,11,1636.193,84.07
235,定向,6678.3865,11,1636.193,84.07
236,定向,6678.3865,11,1636.193,84.07
237,定向,6678.3865,11,1636.193,84.07
238,定向,6678.3865,11,1636.193,84.07
239,定向,6678.3865,11,1636.193,84.07
240,定向,6678.3865,11,1636.193,84.07
241,定向,6678.3865,11,1636.193,84.07
242,定向,6678.3865,11,1636.193,84.07
243,定向,6678.3865,11,1636.193,84.07
244,定向,6678.3865,11,1636.193,84.07
245,定向,6678.3865,11,1636.193,84.07
246,定向,6678.3865,11,1636.193,84.07
247,定向,6678.3865,11,1636.193,84.07
248,定向,6678.3865,11,1636.193,84.07
249,定向,6678.3865,11,1636.193,84.07
250,定向,6678.3865,11,1636.193,84.07
251,定向,6678.3865,11,1636.193,84.07
252,定向,6678.3865,11,1636.193,84.07
253,定向,6678.3865,11,1636.193,84.07
254,定向,6678.3865,11,1636.193,84.07
255,定向,6678.3865,11,1636.193,84.07
256,定向,6678.3865,11,1636.193,84.07
257,定向,6678.3865,11,1636.193,84.07
258,定向,6678.3865,11,1636.193,84.07
259,定向,6678.3865,11,1636.193,84.07
260,定向,6678.3865,11,1636.193,84.07
261,定向,6678.3865,11,1636.193,84.07
262,定向,6678.3865,11,1636.193,84.07
263,定向,6678.3865,11,1636.193,84.07
264,定向,6678.3865,11,1636.193,84.07
265,定向,6678.3865,11,1636.193,84.07
266,定向,6678.3865,11,1636.193,84.07
267,定向,6678.3865,11,1636.193,84.07
268,定向,6678.3865,11,1636.193,84.07
269,定向,6678.3865,11,1636.193,84.07
270,定向,6678.3865,11,1636.193,84.07
271,定向,6678.3865,11,1636.193,84.07
272,定向,6678.3865,11,1636.193,84.07
273,定向,6678.3865,11,1636.193,84.07
274,定向,6678.3865,11,1636.193,84.07
275,定向,6678.3865,11,1636.193,84.07
276,定向,6678.3865,11,1636.193,84.07
277,定向,6678.3865,11,1636.193,84.07
278,定向,6678.3865,11,1636.193,84.07
279,定向,6678.3865,11,1636.193,84.07
280,定向,6678.3865,11,1636.193,84.07
281,定向,6678.3865,11,1636.193,84.07
282,定向,6678.3865,11,1636.193,84.07
283,定向,6678.3865,11,1636.193,84.07
284,定向,6678.3865,11,1636.193,84.07
285,定向,6678.3865,11,1636.193,84.07
286,定向,6678.3865,11,1636.193,84.07
287,定向,6678.3865,11,1636.193,84.07
288,定向,6678.3865,11,1636.193,84.07
289,定向,6678.3865,11,1636.193,84.07
290,定向,6678.3865,11,1636.193,84.07
291,定向,6678.3865,11,1636.193,84.07
292,定向,6678.3865,11,1636.193,84.07
293,定向,6678.3865,11,1636.193,84.07
294,定向,6678.3865,11,1636.193,84.07
295,定向,6678.3865,11,1636.193,84.07
296,定向,6678.3865,11,1636.193,84.07
297,定向,6678.3865,11,1636.193,84.07
298,定向,6678.3865,11,1636.193,84.07
299,定向,6678.3865,11,1636.193,84.07
300,定向,6678.3865,11,1636.193,84.07
301,定向,6678.3865,11,1636.193,84.07
302,定向,6678.3865,11,1636.193,84.07
303,定向,6678.3865,11,1636.193,84.07
304,定向,6678.3865,11,1636.193,84.07
305,定向,6678.3865,11,1636.193,84.07
306,定向,6678.3865,11,1636.193,84.07
307,定向,6678.3865,11,1636.193,84.07
308,定向,6678.3865,11,1636.193,84.07
309,定向,6678.3865,11,1636.193,84.07
310,定向,6678.3865,11,1636.193,84.07
311,定向,6678.3865,11,1636.193,84.07
312,定向,6678.3865,11,1636.193,84.07
313,定向,6678.3865,11,1636.193,84.07
314,定向,6678.3865,11,1636.193,84.07
315,定向,6678.3865,11,1636.193,84.07
316,定向,6678.3865,11,1636.193,84.07
317,定向,6678.3865,11,1636.193,84.07
318,定向,6678.3865,11,1636.193,84.07
319,定向,6678.3865,11,1636.193,84.07
320,定向,6678.3865,11,1636.193,84.07
321,定向,6678.3865,11,1636.193,84.07
322,定向,6678.3865,11,1636.193,84.07
323,定向,6582.473,11,1628.236,84.47
324,定向,6582.473,11,1628.236,84.47
325,定向,6582.473,11,1628.236,84.47
326,定向,6582.473,11,1628.236,84.47
327,定向,6582.473,11,1628.236,84.47
328,定向,6582.473,11,1628.236,84.47
329,定向,6582.473,11,1628.236,84.47
330,定向,6582.473,11,1628.236,84.47
331,定向,6582.473,11,1628.236,84.47
332,定向,6582.473,11,1628.236,84.47
333,定向,6582.473,11,1628.236,84.47
334,定向,6582.473,11,1628.236,84.47
335,定向,6582.473,11,1628.236,84.47
336,定向,6582.473,11,1628.236,84.47
337,定向,6582.473,11,1628.236,84.47
338,定向,6582.473,11,1628.236,84.47
339,定向,6582.473,11,1628.236,84.47
340,定向,6582.473,11,1628.236,84.47
341,定向,6582.473,11,1628.236,84.47
342,定向,6582.473,11,1628.236,84.47
343,定向,6582.473,11,1628.236,84.47
344,定向,6582.473,11,1628.236,84.47
345,定向,6465.4604,11,1622.73,85.0
346,定向,6465.4604,11,1622.73,85.0
347,定向,6465.4604,11,1622.73,85.0
348,定向,6465.4604,11,1622.73,85.0
349,定向,6465.4604,11,1622.73,85.0
350,定向,6465.4604,11,1622.73,85.0
351,定向,6465.4604,11,1622.73,85.0
352,定向,6465.4604,11,1622.73,85.0
353,定向,6465.4604,11,1622.73,85.0
354,定向,6465.4604,11,1622.73,85.0
355,定向,6465.4604,11,1622.73,85.0
356,定向,6465.4604,11,1622.73,85.0
357,定向,6465.4604,11,1622.73,85.0
358,定向,6465.4604,11,1622.73,85.0
359,定向,6465.4604,11,1622.73,85.0
360,定向,6465.4604,11,1622.73,85.0
361,定向,6465.4604,11,1622.73,85.0
362,定向,6465.4604,11,1622.73,85.0
363,定向,6465.4604,11,1622.73,85.0
364,定向,6465.4604,11,1622.73,85.0
365,定向,6465.4604,11,1622.73,85.0
366,定向,6465.4604,11,1622.73,85.0
367,定向,6465.4604,11,1622.73,85.0
368,定向,6465.4604,11,1622.73,85.0
369,定向,6465.4604,11,1622.73,85.0
370,定向,6465.4604,11,1622.73,85.0
371,定向,6465.4604,11,1622.73,85.0
372,定向,6465.4604,11,1622.73,85.0
373,定向,6465.4604,11,1622.73,85.0
374,定向,6465.4604,11,1622.73,85.0
375,定向,6465.4604,11,1622.73,85.0
376,定向,6465.4604,11,1622.73,85.0
377,定向,6465.4604,11,1622.73,85.0
378,定向,6465.4604,11,1622.73,85.0
379,定向,6465.4604,11,1622.73,85.0
380,定向,6465.4604,11,1622.73,85.0
381,定向,6465.4604,11,1622.73,85.0
382,定向,6465.4604,11,1622.73,85.0
383,定向,6465.4604,11,1622.73,85.0
384,定向,6465.4604,11,1622.73,85.0
385,定向,6465.4604,11,1622.73,85.0
386,定向,6465.4604,11,1622.73,85.0
387,定向,6465.4604,11,1622.73,85.0
388,定向,6465.4604,11,1622.73,85.0
389,定向,6465.4604,11,1622.73,85.0
390,定向,6465.4604,11,1622.73,85.0
391,定向,6465.4604,11,1622.73,85.0
392,定向,6465.4604,11,1622.73,85.0
393,定向,6465.4604,11,1622.73,85.0
394,定向,6465.4604,11,1622.73,85.0
395,定向,6465.4604,11,1622.73,85.0
396,定向,6465.4604,11,1622.73,85.0
397,定向,6465.4604,11,1622.73,85.0
398,定向,6465.4604,11,1622.73,85.0
399,定向,6465.4604,11,1622.73,85.0
