迭代：99，类型：随机，适应值：(8967.5082,)，车辆：20，距离：3963.754，满意度：96.8
迭代：100，类型：随机，适应值：(8967.5082,)，车辆：20，距离：3963.754，满意度：96.8
迭代：101，类型：随机，适应值：(8967.5082,)，车辆：20，距离：3963.754，满意度：96.8
迭代：102，类型：随机，适应值：(8967.5082,)，车辆：20，距离：3963.754，满意度：96.8
迭代：103，类型：随机，适应值：(8952.1696,)，车辆：20，距离：3956.085，满意度：96.8
迭代：104，类型：随机，适应值：(8938.6581,)，车辆：20，距离：3949.329，满意度：96.8
迭代：105，类型：随机，适应值：(8938.6581,)，车辆：20，距离：3949.329，满意度：96.8
迭代：106，类型：随机，适应值：(8938.1057,)，车辆：20，距离：3949.053，满意度：96.8
迭代：107，类型：随机，适应值：(8756.9754,)，车辆：20，距离：3945.488，满意度：97.67
迭代：108，类型：随机，适应值：(8756.9754,)，车辆：20，距离：3945.488，满意度：97.67
迭代：109，类型：随机，适应值：(8756.9754,)，车辆：20，距离：3945.488，满意度：97.67
迭代：110，类型：随机，适应值：(8711.6511,)，车辆：20，距离：3942.826，满意度：97.87
迭代：111，类型：随机，适应值：(8711.6511,)，车辆：20，距离：3942.826，满意度：97.87
迭代：112，类型：随机，适应值：(8711.6511,)，车辆：20，距离：3942.826，满意度：97.87
迭代：113，类型：随机，适应值：(8711.6511,)，车辆：20，距离：3942.826，满意度：97.87
迭代：114，类型：随机，适应值：(8711.6511,)，车辆：20，距离：3942.826，满意度：97.87
迭代：115，类型：随机，适应值：(8711.6511,)，车辆：20，距离：3942.826，满意度：97.87
迭代：116，类型：随机，适应值：(8701.203,)，车辆：20，距离：3937.602，满意度：97.87
迭代：117，类型：随机，适应值：(8693.5848,)，车辆：20，距离：3933.792，满意度：97.87
迭代：118，类型：随机，适应值：(8679.9773,)，车辆：20，距离：3926.989，满意度：97.87
迭代：119，类型：随机，适应值：(8679.9773,)，车辆：20，距离：3926.989，满意度：97.87
迭代：120，类型：随机，适应值：(8669.5292,)，车辆：20，距离：3921.765，满意度：97.87
迭代：121，类型：随机，适应值：(8669.5292,)，车辆：20，距离：3921.765，满意度：97.87
迭代：122，类型：随机，适应值：(8661.4608,)，车辆：20，距离：3923.73，满意度：97.93
迭代：123，类型：随机，适应值：(8654.9423,)，车辆：20，距离：3914.471，满意度：97.87
迭代：124，类型：随机，适应值：(8629.4595,)，车辆：20，距离：3907.73，满意度：97.93
迭代：125，类型：随机，适应值：(8618.1471,)，车辆：20，距离：3896.074，满意度：97.87
迭代：126，类型：随机，适应值：(8597.7857,)，车辆：20，距离：3891.893，满意度：97.93
迭代：127，类型：随机，适应值：(8597.7857,)，车辆：20，距离：3891.893，满意度：97.93
迭代：128，类型：随机，适应值：(8588.3181,)，车辆：20，距离：3887.159，满意度：97.93
迭代：129，类型：随机，适应值：(8577.0772,)，车辆：20，距离：3881.539，满意度：97.93
迭代：130，类型：随机，适应值：(8577.0772,)，车辆：20，距离：3881.539，满意度：97.93
迭代：131，类型：随机，适应值：(8545.0759,)，车辆：20，距离：3865.538，满意度：97.93
迭代：132，类型：随机，适应值：(8545.0759,)，车辆：20，距离：3865.538，满意度：97.93
迭代：133，类型：随机，适应值：(8535.8542,)，车辆：20，距离：3860.927，满意度：97.93
迭代：134，类型：随机，适应值：(8535.8542,)，车辆：20，距离：3860.927，满意度：97.93
迭代：135，类型：随机，适应值：(8509.6525,)，车辆：20，距离：3847.826，满意度：97.93
迭代：136，类型：随机，适应值：(8509.6525,)，车辆：20，距离：3847.826，满意度：97.93
迭代：137，类型：随机，适应值：(8509.6525,)，车辆：20，距离：3847.826，满意度：97.93
迭代：138，类型：随机，适应值：(8509.6525,)，车辆：20，距离：3847.826，满意度：97.93
迭代：139，类型：随机，适应值：(8509.6525,)，车辆：20，距离：3847.826，满意度：97.93
迭代：140，类型：随机，适应值：(8448.2999,)，车辆：20，距离：3817.15，满意度：97.93
迭代：141，类型：随机，适应值：(8448.2999,)，车辆：20，距离：3817.15，满意度：97.93
迭代：142，类型：随机，适应值：(8448.2999,)，车辆：20，距离：3817.15，满意度：97.93
迭代：143，类型：随机，适应值：(8448.2999,)，车辆：20，距离：3817.15，满意度：97.93
迭代：144，类型：随机，适应值：(8448.2999,)，车辆：20，距离：3817.15，满意度：97.93
迭代：145，类型：随机，适应值：(8448.2999,)，车辆：20，距离：3817.15，满意度：97.93
迭代：146，类型：随机，适应值：(8404.9007,)，车辆：20，距离：3795.45，满意度：97.93
迭代：147，类型：随机，适应值：(8404.9007,)，车辆：20，距离：3795.45，满意度：97.93
迭代：148，类型：随机，适应值：(8401.7327,)，车辆：20，距离：3793.866，满意度：97.93
迭代：149，类型：随机，适应值：(8401.7327,)，车辆：20，距离：3793.866，满意度：97.93
迭代：150，类型：随机，适应值：(8401.7327,)，车辆：20，距离：3793.866，满意度：97.93
迭代：151，类型：随机，适应值：(8346.3272,)，车辆：20，距离：3766.164，满意度：97.93
迭代：152，类型：随机，适应值：(8346.3272,)，车辆：20，距离：3766.164，满意度：97.93
迭代：153，类型：随机，适应值：(8302.9506,)，车辆：20，距离：3744.475，满意度：97.93
迭代：154，类型：随机，适应值：(8302.9506,)，车辆：20，距离：3744.475，满意度：97.93
迭代：155，类型：随机，适应值：(8302.928,)，车辆：20，距离：3744.464，满意度：97.93
迭代：156，类型：随机，适应值：(8302.928,)，车辆：20，距离：3744.464，满意度：97.93
迭代：157，类型：随机，适应值：(8302.843,)，车辆：20，距离：3738.422，满意度：97.87
迭代：158，类型：随机，适应值：(8276.5873,)，车辆：20，距离：3731.294，满意度：97.93
迭代：159，类型：随机，适应值：(8276.5873,)，车辆：20，距离：3731.294，满意度：97.93
迭代：160，类型：随机，适应值：(8276.5873,)，车辆：20，距离：3731.294，满意度：97.93
迭代：161，类型：随机，适应值：(8276.5873,)，车辆：20，距离：3731.294，满意度：97.93
迭代：162，类型：随机，适应值：(8275.161,)，车辆：20，距离：3730.58，满意度：97.93
迭代：163，类型：随机，适应值：(8254.8467,)，车辆：20，距离：3720.423，满意度：97.93
迭代：164，类型：随机，适应值：(8254.8467,)，车辆：20，距离：3720.423，满意度：97.93
迭代：165，类型：随机，适应值：(8254.8467,)，车辆：20，距离：3720.423，满意度：97.93
迭代：166，类型：随机，适应值：(8254.8467,)，车辆：20，距离：3720.423，满意度：97.93
迭代：167，类型：随机，适应值：(8254.8467,)，车辆：20，距离：3720.423，满意度：97.93
迭代：168，类型：随机，适应值：(8205.9237,)，车辆：20，距离：3682.962，满意度：97.8
迭代：169，类型：随机，适应值：(8205.9237,)，车辆：20，距离：3682.962，满意度：97.8
迭代：170，类型：随机，适应值：(8191.4562,)，车辆：20，距离：3675.728，满意度：97.8
迭代：171，类型：随机，适应值：(8191.4562,)，车辆：20，距离：3675.728，满意度：97.8
迭代：172，类型：随机，适应值：(8191.4562,)，车辆：20，距离：3675.728，满意度：97.8
迭代：173，类型：随机，适应值：(8178.1341,)，车辆：20，距离：3669.067，满意度：97.8
迭代：174，类型：随机，适应值：(8178.1341,)，车辆：20，距离：3669.067，满意度：97.8
迭代：175，类型：随机，适应值：(8178.1341,)，车辆：20，距离：3669.067，满意度：97.8
迭代：176，类型：随机，适应值：(8178.1341,)，车辆：20，距离：3669.067，满意度：97.8
迭代：177，类型：随机，适应值：(8167.5295,)，车辆：20，距离：3656.765，满意度：97.73
迭代：178，类型：随机，适应值：(8161.5778,)，车辆：20，距离：3673.789，满意度：97.93
迭代：179，类型：随机，适应值：(8076.2265,)，车辆：20，距离：3718.113，满意度：98.8
迭代：180，类型：随机，适应值：(8076.2265,)，车辆：20，距离：3718.113，满意度：98.8
迭代：181，类型：随机，适应值：(8076.2265,)，车辆：20，距离：3718.113，满意度：98.8
迭代：182，类型：随机，适应值：(8059.6702,)，车辆：20，距离：3722.835，满意度：98.93
迭代：183，类型：随机，适应值：(7955.8709,)，车辆：20，距离：3710.935，满意度：99.33
