index,fitness
245,10293.7122
246,10293.7122
247,10293.7122
248,10293.7122
249,10293.7122
250,10293.7122
251,10293.7122
252,10293.7122
253,10293.7122
254,10293.7122
255,10293.7122
256,10293.7122
257,10293.7122
258,10293.7122
259,10293.7122
260,10293.7122
261,10293.7122
262,10293.7122
263,10293.7122
264,10293.7122
265,10293.7122
266,10293.7122
267,10293.7122
268,10293.7122
269,10293.7122
270,10293.7122
271,10293.7122
272,10293.7122
273,10293.7122
274,10293.7122
275,10293.7122
276,10293.7122
277,10293.7122
278,10293.7122
279,10293.7122
280,10293.7122
281,10293.7122
282,10293.7122
283,10293.7122
284,10293.7122
285,10293.7122
286,10293.7122
287,10293.7122
288,10293.7122
289,10293.7122
290,10293.7122
291,10293.7122
292,10293.7122
293,10293.7122
294,10293.7122
295,10293.7122
296,10293.7122
297,10293.7122
298,10293.7122
299,10293.7122
300,10293.7122
301,10293.7122
302,10293.7122
303,10293.7122
304,10293.7122
305,10293.7122
306,10293.7122
307,10293.7122
308,10293.7122
309,10293.7122
310,10293.7122
311,10293.7122
312,10293.7122
313,10293.7122
314,10293.7122
315,10293.7122
316,10293.7122
317,10293.7122
318,10293.7122
319,10293.7122
320,10293.7122
321,10293.7122
322,10293.7122
323,10293.7122
324,10293.7122
325,10293.7122
326,10293.7122
327,10293.7122
328,10293.7122
329,10293.7122
330,10293.7122
331,10293.7122
332,10293.7122
333,10293.7122
334,10293.7122
335,10293.7122
336,10293.7122
337,10293.7122
338,10293.7122
339,10293.7122
340,10293.7122
341,10293.7122
342,10293.7122
343,10293.7122
344,10293.7122
345,10293.7122
346,10293.7122
347,10293.7122
348,10293.7122
349,10293.7122
350,10293.7122
351,10293.7122
352,10293.7122
353,10293.7122
354,10293.7122
355,10293.7122
356,10293.7122
357,10293.7122
358,10293.7122
359,10293.7122
360,10293.7122
361,10293.7122
362,10293.7122
363,10293.7122
364,10293.7122
365,10293.7122
366,10293.7122
367,10293.7122
368,10293.7122
369,10293.7122
370,10293.7122
371,10293.7122
372,10293.7122
373,10293.7122
374,10293.7122
375,10293.7122
376,10293.7122
377,10293.7122
378,10293.7122
379,10293.7122
380,10293.7122
381,10293.7122
382,10293.7122
383,10293.7122
384,10293.7122
385,10293.7122
386,10293.7122
387,10293.7122
388,10293.7122
389,10293.7122
390,10293.7122
391,10293.7122
392,10293.7122
393,10293.7122
394,10293.7122
395,10293.7122
396,10293.7122
397,10293.7122
398,10293.7122
399,10293.7122
400,10293.7122
401,10293.7122
402,10293.7122
403,10293.7122
404,10293.7122
405,10293.7122
406,10293.7122
407,10293.7122
408,10293.7122
409,10293.7122
410,10293.7122
411,10293.7122
412,10293.7122
413,10293.7122
414,10293.7122
415,10293.7122
416,10293.7122
417,10293.7122
418,10293.7122
419,10293.7122
420,10293.7122
421,10293.7122
422,10293.7122
423,10293.7122
424,10293.7122
425,10293.7122
426,10293.7122
427,10293.7122
428,10293.7122
429,10293.7122
430,10293.7122
431,10293.7122
432,10293.7122
433,10293.7122
434,10293.7122
435,10293.7122
436,10293.7122
437,10293.7122
438,10293.7122
439,10293.7122
440,10293.7122
441,10293.7122
442,10293.7122
443,10293.7122
444,10293.7122
445,10293.7122
446,10293.7122
447,10293.7122
448,10293.7122
449,10293.7122
450,10293.7122
451,10293.7122
452,10293.7122
453,10293.7122
454,10293.7122
455,10293.7122
456,10293.7122
457,10293.7122
458,10293.7122
459,10293.7122
460,10293.7122
461,10293.7122
462,10293.7122
463,10293.7122
464,10293.7122
465,10293.7122
466,10293.7122
467,10293.7122
468,10293.7122
469,10293.7122
470,10293.7122
471,10293.7122
472,10293.7122
473,10293.7122
474,10293.7122
475,10293.7122
476,10293.7122
477,10293.7122
478,10293.7122
479,10293.7122
480,10293.7122
481,10293.7122
482,10293.7122
483,10293.7122
484,10293.7122
485,10293.7122
486,10293.7122
487,10293.7122
488,10293.7122
489,10293.7122
490,10293.7122
491,10293.7122
492,10293.7122
493,10293.7122
494,10293.7122
495,10293.7122
496,10293.7122
497,10293.7122
498,10293.7122
499,10293.7122
500,10293.7122
