Generation,evals,avg,std,min,max,best_one,fitness_best_one
56,352,[ 76.44216859 476.8194217 ],[ 3.85553346 13.28576998],[ 72.         461.24139023],[ 84.         504.44114893],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 19, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 498.8744648851916)"
57,340,[ 76.89132937 477.89091312],[ 3.30890122 10.22653071],[ 73.03871962 458.86749114],[ 84.         504.01626457],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 498.69600188118727)"
58,344,[ 76.34619224 474.98459946],[ 3.87149758 11.48928305],[ 73.03871962 458.86749114],[ 84.         501.91791555],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 498.69600188118727)"
59,336,[ 78.28122849 479.78131181],[ 3.71758293 11.95075824],[ 73.03871962 444.94237399],[ 84.         501.91791555],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 498.69600188118727)"
60,352,[ 78.57091712 479.46749957],[ 3.26182414 10.57195314],[ 73.03871962 444.94237399],[ 84.         498.92665133],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 498.69600188118727)"
61,356,[ 79.06966704 480.12759823],[2.73794951 8.81914422],[ 73.03871962 444.94237399],[ 84.         498.87446489],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 498.69600188118727)"
62,354,[ 78.3525851  478.53637507],[ 3.4772328  12.54701955],[ 72.         444.94237399],[ 84.         575.39475347],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 498.69600188118727)"
63,346,[ 79.08537101 479.5236964 ],[ 3.42054852 13.02042042],[ 73.0350908  444.94237399],[ 84.         518.54193244],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 498.69600188118727)"
64,336,[ 78.13981311 476.89339464],[ 4.30718797 16.63576672],[ 73.0350908  442.17118091],[ 84.         512.98656424],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 498.69600188118727)"
65,334,[ 76.73894777 471.24205183],[ 3.89622946 15.91640814],[ 73.03699298 442.17118091],[ 84.         498.69600188],"[17, 18, 22, 20, 24, 16, 19, 7, 2, 15, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 495.84426868791707)"
66,338,[ 75.98412236 466.66423715],[ 2.52117373 13.56789902],[ 73.03699298 442.17118091],[ 84.         498.69600188],"[17, 18, 22, 20, 24, 16, 19, 7, 2, 15, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 495.84426868791707)"
67,342,[ 75.40232987 461.9196763 ],[ 3.05773198 15.45101586],[ 73.03699298 442.17118091],[ 84.         498.69600188],"[17, 18, 22, 20, 24, 16, 19, 7, 2, 15, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 495.84426868791707)"
68,336,[ 77.10357393 472.02658402],[ 3.15640607 12.95220943],[ 69.04840661 442.17118091],[ 84.         551.06559556],"[17, 18, 22, 20, 24, 16, 19, 7, 2, 15, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 495.84426868791707)"
69,346,[ 78.16658571 473.26464623],[ 3.39600087 15.23503469],[ 73.03699298 436.85695276],[ 84.         500.47545476],"[17, 18, 22, 20, 24, 16, 19, 7, 2, 15, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 495.84426868791707)"
70,328,[ 79.24053421 475.79098489],[ 3.5764391  18.12494727],[ 73.03699298 436.85695276],[ 84.         500.47545476],"[17, 18, 22, 20, 24, 16, 19, 7, 2, 15, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 495.84426868791707)"
